north_america,eat_out_freq,age,n_people,price,food_type,noise_level,good_server,comments,restaurant_name,target
No,14.0,21,20.0,30.0,Chinese,no music,No,There is no service at all but they yield for tips over 18%,Fa Lun Gong,dislike
No,2.0,23,50.0,30.0,Canadian/American,high,No,"Super slow service, fast food orders took 40mins to arrive",nope,dislike
Yes,0.5,22,20.0,25.0,Canadian/American,crazy loud,No,,,dislike
Yes,5.0,21,2.0,30.0,Canadian/American,high,No,Expensive,,dislike
No,3.0,23,5.0,15.0,Other,no music,Yes,Pork not properly cooked,Nori,dislike
Yes,4.0,22,6.0,20.0,Chinese,low,No,,,dislike
Yes,1.0,26,2.0,25.0,Indian,medium,,,,dislike
No,10.0,25,1.0,12.0,Other,no music,Yes,"the food smells bad, and taste bad. The server is polite and its not noisy.",mediterranean cuisine,dislike
Yes,0.0,21,8.0,18.0,Other,low,Yes,I had an allergic reaction which resulted in me going to the hospital.,,dislike
Don't want to share,0.0,20,,,,,,,,dislike
Yes,3.0,33,,,,,,,,dislike
Yes,3.0,21,,,,,,,,dislike
Yes,0.0,29,,,,,,,,dislike
No,4.0,22,,,,,,,,dislike
Yes,1.0,21,,,,,,,,dislike
No,3.0,22,,,,,,,,dislike
Yes,3.0,27,10.0,40.0,Other,medium,No,food was really cold when it got to us,,dislike
Yes,2.0,27,,,,,,,,dislike
No,3.0,33,,,,,,,,dislike
No,2.0,21,,,,,,,,dislike
No,3.0,23,,,,,,,,dislike
Yes,3.0,22,10.0,20.0,Other,low,Yes,Food tasted bad,Kinton,dislike
Yes,2.0,22,,,,,,,,dislike
Yes,2.0,20,,,,,,,,dislike
Yes,5.0,20,,,,,,,,dislike
Yes,4.0,22,,,,,,,,dislike
Yes,1.0,20,,,,,,,,dislike
Yes,6.0,20,,,,,,,,dislike
Don't want to share,1.0,30,,,,,,,,dislike
Yes,14.0,22,,,,,,,,dislike
No,3.0,25,30.0,100.0,Italian,high,Yes,"Overly salted food, shells still in food",Robba di Matti,dislike
No,10.0,29,6.0,60.0,Canadian/American,high,Yes,,white spot,dislike
Yes,1.0,21,30.0,25.0,Canadian/American,no music,No,,,dislike
No,2.0,25,20.0,0.0,Canadian/American,medium,No,"Sat down for 30 minutes, was not approached by anyone and left.",The Canadian Brewhouse & Grill,dislike
No,3.0,24,50.0,80.0,Other,medium,Yes,"small portion, too expensive, food did not taste good, seated near door during winter so I experienced chilly gust of wind everything someone opened the door.",St. Lawrence,dislike
No,1.0,25,30.0,25.0,Other,high,No,food was bad and overpriced,,dislike
No,2.0,21,10.0,25.0,Indian,low,Yes,,,dislike
Yes,2.0,24,12.0,20.0,Canadian/American,medium,Yes,Amazing food and atmosphere,Sunny Chibas,dislike
Yes,3.0,22,200.0,30.0,Canadian/American,medium,No,inattentive server,Earls,dislike
Yes,0.0,23,60.0,20.0,Canadian/American,high,Yes,The food was mostly out of stock and we had a few orders made wrong and the food wasn't completely cooked.,White Spot,dislike
Yes,2.0,22,30.0,25.0,Other,high,Yes,temperature in the restaurant,Don't remember,dislike
Yes,4.0,20,5.0,15.0,Canadian/American,low,No,,,dislike
No,4.0,22,5.0,20.0,Other,medium,Yes,,,dislike
Yes,1.0,24,2.0,30.0,Other,high,No,Bad company ,,dislike
Yes,1.0,21,123.0,20.0,Other,high,Yes,no clue,no idea,dislike
Yes,2.0,30,25.0,10.0,Chinese,no music,No,Got food poisoning,,dislike
Yes,5.0,20,30.0,30.0,Canadian/American,medium,No,no,Elwoods,dislike
No,1.0,22,5.0,10.0,Canadian/American,medium,No,,Subway,dislike
Yes,0.0,22,0.0,23.0,Other,no music,No,"Ordered chicken, which came out raw",,dislike
Yes,2.0,26,2.0,20.0,Other,low,Yes,"Food looked old and stale, furniture was falling apart",Mongolian BBQ,dislike
Yes,3.0,26,15.0,22.0,Canadian/American,low,No,The food took forever to arrive and then the servers really struggled figuring out the bills.,Toby's,dislike
Yes,0.0,21,50.0,30.0,Thai,medium,Yes,Dunno,Cactus Club Cafe,dislike
No,1.0,22,3.0,20.0,Canadian/American,medium,No,no,no,dislike
Yes,3.0,20,20.0,12.0,Fusion,high,Yes,,Sesame,dislike
Yes,2.0,32,30.0,30.0,Canadian/American,no music,Yes,,,dislike
No,1.0,27,4.0,20.0,Canadian/American,medium,No,,,dislike
No,5.0,21,20.0,40.0,Indian,medium,Yes,x,Tasty Indian Bistro,dislike
Yes,2.0,25,3.0,20.0,Other,high,No,,,dislike
No,9.0,19,20.0,40.0,Italian,high,No,The food is cold and it took too long to wait for the food,no,dislike
Yes,2.0,23,5.0,45.0,Other,low,No,"I have a peanut allergy, told the waiter this, yet the food was brought out with peanuts scattered across it",,dislike
No,2.0,21,10.0,20.0,Other,low,No,Food was way too spicy. Genuinely caused physical pain to finish my plate,Harambe,dislike
Yes,0.0,21,6.0,12.0,Other,low,Yes,,,dislike
Yes,2.0,22,1.0,30.0,Other,low,Yes,,,dislike
No,2.0,22,10.0,25.0,Other,no music,No,,,dislike
Yes,2.0,22,8.0,18.0,Other,medium,Yes,"I've had much better vietnamese food elsewhere, my vietnamese boyfriend also disproved of it",pho with us,dislike
Yes,1.0,20,1.0,18.0,Other,no music,Yes,The food was a bit lacking in quantity,,dislike
No,4.0,21,25.0,20.0,Canadian/American,low,Yes,The food was really dry,The Galley,dislike
No,0.3,30,20.0,25.0,Canadian/American,low,No,The bill was wrong,,dislike
Yes,1.0,21,4.0,19.0,Fusion,no music,Yes,,Bread x Butter,dislike
No,5.0,21,35.0,60.0,Other,high,No,"The service is too slow, so the BBQgets cold:(",Hongdae Pocha Korean BBQ,dislike
No,14.0,22,13.0,40.0,Indian,medium,Yes,"They asked for 3 dollars extra charge for their performers who played for 5 minutes during my time there, and the food itself was very average curry for a very high price point.",East is East,dislike
No,2.0,21,15.0,30.0,Other,low,Yes,Food quality and taste,,dislike
Yes,3.0,26,2.0,50.0,Other,medium,No,"The food itself wasn't fantastic.   I've had plenty of Vietnamese cuisine in Vancouver, some authentic, some fusion, some cheap, some expensive.  This experience was just awful.  Tasted bad.  Drinks were bad.  Worst of all, it was on the pricier side.",Tang Vietnamese Restaurant & Bar,dislike
Yes,2.0,21,40.0,80.0,Other,medium,No,"Food was overpriced for quality.
Uni was unfresh and the waitress disregarded my feedback. 
Was told to take a small bite from the uni next time to test if it's spoiled, which I thought was ridiculous for a dish that costs $65.",,dislike
Yes,1.0,20,5.0,30.0,Other,low,No,The servers kept staring at me,,dislike
No,2.0,21,10.0,45.0,Chinese,medium,No,I got offended by the unauthentic Chinese food there.,Jingle Bao,dislike
No,4.0,24,10.0,15.0,Other,medium,Yes,Tacky crowd,,dislike
No,4.0,20,10.0,25.0,Fusion,low,Yes,,,dislike
Yes,1.0,21,80.0,15.0,Chinese,high,Yes,I did not like the food.,,dislike
Yes,3.0,19,7.0,8.0,Canadian/American,medium,Yes,There was a rat and the cashier said they come because they like the cheese!,Uncle Fatih's,dislike
No,5.0,20,20.0,23.0,Chinese,medium,Yes,The food,,dislike
Yes,8.0,22,50.0,16.0,Canadian/American,medium,Yes,,,dislike
Yes,4.0,22,5.0,30.0,Canadian/American,medium,Yes,,,dislike
Yes,1.0,20,40.0,60.0,Italian,medium,Yes,Overpriced,,dislike
Yes,2.0,23,5.0,10.0,Chinese,low,Yes,I personally did not enjoy the food- it tasted cold and bland.,Golden Oscar Cafe & Restaurant,dislike
No,2.0,23,50.0,30.0,Canadian/American,medium,Yes,,,dislike
No,1.5,21,50.0,25.0,Canadian/American,high,Yes,,,dislike
Yes,1.0,30,25.0,125.0,Chinese,medium,No,portion toooooooo small,Dinesity,dislike
Yes,2.0,25,15.0,30.0,Canadian/American,medium,Yes,There was a rat running arount the floor.,Brown's Social House,dislike
Yes,1.0,22,20.0,18.0,Fusion,low,Yes,the food was bad,Old Bird,dislike
Yes,1.0,23,16.0,25.0,Canadian/American,medium,Yes,The food was too greasy,,dislike
Yes,1.0,20,50.0,15.0,Indian,low,No,Food came extremely late in a wet plate and was cold.,Saravanaa Bhavan,dislike
Yes,0.0,22,7.0,30.0,Canadian/American,medium,Yes,waitress got upset about tip lmaoo,red robin,dislike
Yes,4.0,29,30.0,50.0,Mexican,crazy loud,No,They were so quick to grab our plates even though we're not done eating yet. We felt rushed and it wasn't even close to their closing time,Cuchillo,dislike
No,0.5,27,40.0,30.0,Canadian/American,crazy loud,No,The wait time was very long. The server did not explain the items on the menu. Most of the items on the menu were not available because it was long weekend,Howe Sound Brewing,dislike
No,1.0,21,20.0,90.0,Other,crazy loud,Yes,"Too loud, overpriced food.",Suika,dislike
Yes,2.0,21,50.0,50.0,Canadian/American,high,No,rude server. ,,dislike
No,1.0,23,10.0,17.0,Other,low,Yes,No,N.A,dislike
Yes,3.0,21,20.0,18.0,Other,medium,No,,,dislike
Yes,3.0,23,15.0,30.0,Other,medium,No,,,dislike
Yes,4.0,21,8.0,20.0,Chinese,low,No,"My friend was served food that had rocks in it. They spoke English really badly and I had to explain to them in Mandarin that my friend was served rocks. He still didn't understand, so we just paid and left.
The server also kept arguing with the cook, which I think is his wife. Family owned.",Chef Hung Taiwanese Beef Noodle,dislike
No,1.0,20,,,,,,,,dislike
No,8.0,20,,,,,,,,dislike
Yes,2.0,23,,,,,,,,dislike
Yes,2.0,20,,,,,,,,dislike
Yes,1.0,22,,,,,,,,dislike
No,2.0,26,,,,,,,,dislike
Yes,5.0,21,,,,,,,,dislike
Yes,2.0,19,,,,,,,,dislike
Yes,3.0,22,,,,,,,,dislike
Yes,4.0,20,1.0,20.0,Chinese,low,No,,,dislike
No,1.0,23,3.0,50.0,Other,low,Yes,,,dislike
No,5.0,20,,,,,,,,dislike
No,3.0,22,,,,,,,,dislike
Yes,3.0,21,,,,,,,,dislike
Yes,3.0,21,,,,,,,,dislike
Yes,1.0,20,,,,,,,,dislike
Yes,2.0,23,,,,,,,,dislike
No,7.0,20,8.0,30.0,Canadian/American,medium,No,Racism,Garage Sports Bar,dislike
No,0.0,26,,,,,,,,dislike
Yes,4.0,21,,,,,,,,dislike
Yes,1.0,22,,,,,,,,dislike
No,3.0,22,,,,,,,,dislike
No,3.0,20,,,,,,,,dislike
No,10.0,20,,,,,,,,dislike
No,10.0,22,,,,,,,,dislike
Yes,1.0,20,,,,,,,,dislike
No,1.0,22,5.0,18.0,Chinese,medium,No,Expected tip rate was far to high for the service that they were providing.,,dislike
Yes,3.0,21,,,,,,,,dislike
Yes,3.0,27,14.0,16.0,Other,medium,Yes,Cash only. Tasted watery and disappointing.,Pho Extreme Xe Lua,dislike
Yes,3.0,29,20.0,10.0,Other,no music,Yes,,,like
Yes,2.0,23,10.0,20.0,Chinese,low,Yes,food tastes good,Midam,like
Yes,2.0,21,10.0,40.0,Other,low,Yes,good food,pear tree,like
No,2.0,24,15.0,40.0,Other,medium,Yes,My love for Korean food,Dami,like
Yes,5.0,23,20.0,10.0,Canadian/American,low,Yes,Good food,,like
Yes,2.0,22,60.0,20.0,Chinese,medium,Yes,food tasted great!,,like
Yes,2.0,23,10000000.0,1000000.0,Canadian/American,crazy loud,Yes,,CACTUS CLUB CAFE,like
Yes,4.0,20,20.0,40.0,Chinese,high,Yes,,,like
Yes,1.0,21,40.0,60.0,Italian,high,Yes,,Frankie’s,like
No,2.0,20,50.0,45.0,Canadian/American,medium,Yes,"Steak was good, ambiance was nice and server was helpful.",Hy's steakhouse,like
No,3.0,23,1.0,20.0,Chinese,medium,Yes,,,like
Yes,2.0,21,30.0,66.0,Chinese,medium,Yes,"food came on time, i was full",Dolar Shop,like
No,5.0,20,30.0,35.0,Indian,medium,Yes,Tasty food,,like
Yes,1.0,29,50.0,20.0,Canadian/American,medium,Yes,"Great menu, great atmosphere. ",Floyds,like
Yes,2.0,23,45.0,25.0,Canadian/American,medium,Yes,"Good company, good food",,like
Yes,2.0,19,25.0,14.0,Other,low,Yes,Food was very good,Dai Jang Gum,like
No,0.5,21,15.0,30.0,fusion,low,Yes,,,like
Yes,3.0,24,40.0,25.0,Other,low,Yes,"Food was really good, was on a date",Saku,like
Yes,2.0,22,40.0,25.0,Canadian/American,medium,Yes,Ambience,OEB Breakfast,like
Yes,1.0,20,40.0,20.0,Indian,low,Yes,,,like
Yes,2.0,25,20.0,35.0,Other,medium,Yes,,Ta Bom,like
Yes,1.0,21,30.0,16.0,Chinese,medium,Yes,,Deer Garden,like
Yes,2.0,19,10.0,15.0,Indian,low,Yes,Server got to know us personally,Raga,like
Yes,0.0,21,50.0,20.0,Canadian/American,low,Yes,,,like
No,2.0,24,30.0,25.0,Other,low,Yes,"Taste, location, ",Raisu,like
Yes,2.0,21,5.0,10.0,Canadian/American,low,Yes,The pizza was the best pizza I ever had ,,like
Yes,3.0,20,10.0,70.0,Other,low,Yes,"good food, good decor",Kosoo,like
No,3.0,22,15.0,20.0,Mexican,no music,Yes,,,like
No,2.0,29,50.0,30.0,Canadian/American,low,Yes,They celebrated my girlfriends birthday.,,like
Yes,5.0,20,25.0,100.0,Canadian/American,low,Yes,Nice waiters and I got to try food that I've never tried in the course menu and it tasted good so it was enjoyable,Five Sails,like
No,2.0,22,30.0,15.0,Chinese,medium,Yes,"Tasty food, clean, good service",,like
No,7.0,22,20.0,58.0,Other,high,Yes,Food tasted good,Nori,like
Yes,1.0,19,50.0,40.0,Canadian/American,medium,Yes,"Good portions, clean, nice flavors",Nook,like
Yes,2.0,22,20.0,30.0,Other,low,Yes,,,like
No,7.0,20,4.0,4.0,Chinese,low,No,vds,vsd,like
Yes,1.0,20,30.0,25.0,Other,high,Yes,Good food,Ta Bom Korean Cuisine,like
Yes,3.0,22,0.0,13.0,Italian,low,Yes,Budget friendly and fud was really gud and tasy,Pasta Sauce,like
Yes,2.0,22,40.0,25.0,Canadian/American,low,Yes,"Good company, nice decor, great sommelier.",The Botanist,like
No,5.0,20,10.0,15.0,Other,medium,Yes,The atmosphere was amazing and food was served really quick. The servers spoke in Japanese in a Japanese restaurant.,Danbo Ramen,like
No,4.0,22,35.0,20.0,Canadian/American,low,Yes,amazing food,Bin 4 Burger Lounge,like
Yes,1.0,23,20.0,15.0,Canadian/American,low,Yes,The food was pretty good,,like
Yes,2.0,22,0.0,0.0,Other,no music,Yes,don't remember ,don't remember ,like
No,5.0,20,3.0,16.0,Indian,no music,Yes,The food was delicious!,Mirchi,like
Don't want to share,4.0,20,50.0,30.0,Chinese,high,Yes,,Haidilao,like
Yes,4.0,22,30.0,20.0,Canadian/American,high,Yes,,,like
Yes,4.0,23,30.0,20.0,Other,medium,Yes,,,like
Yes,1.0,20,80.0,25.0,Canadian/American,high,Yes,It was my birthday ,The point,like
No,1.0,24,10.0,20.0,Indian,low,Yes,Food is amazing,,like
No,3.0,21,20.0,16.0,Indian,medium,Yes,THE FOOD WAS AWESOME!!,Bombay Kitchen and Bar,like
Yes,1.0,22,8.0,20.0,Canadian/American,low,Yes,Food tasted great,The Cannibal Cafe,like
No,2.0,22,30.0,40.0,Thai,low,No,the environment,don't remember,like
No,1.0,22,30.0,25.0,Mexican,high,Yes,good company + really good food + nice ambiente,Lucky Taco,like
Yes,1.0,22,10.0,15.0,Other,medium,Yes,Lighting,Guu ,like
Yes,1.0,29,20.0,50.0,Other,low,Yes,The quality of the food was amazing!,It was a Japanese restaurant but I can't remember its name.,like
Yes,4.0,28,50.0,250.0,Other,low,Yes,Good food and good service,Miku,like
No,2.0,23,15.0,16.0,Thai,high,Yes,I love their pho so much,Linh,like
No,2.0,26,20.0,30.0,Italian,medium,Yes,The food was delicious,La Notte,like
No,1.0,10,30.0,20.0,Other,low,Yes,food tasted good,sancho,like
No,1.0,22,5.0,12.0,Mexican,low,Yes,"Fast Service, Great quality and taste",TacoFino,like
Yes,4.0,23,10.0,15.0,Other,no music,Yes,Best Ramen,Marutama Gaiden,like
Yes,1.0,23,15.0,150.0,Canadian/American,low,Yes,I think the service way amazing and the food was very good,Revolving restaurant Vancouver,like
Yes,2.0,27,75.0,35.0,Canadian/American,medium,Yes,Great View beside the ocean. The nice attitude from the waitress. Great Food. ,Cactus Club,like
Yes,2.0,24,40.0,60.0,Italian,low,No,the food was amazing ,lupo ,like
Yes,0.5,23,50.0,30.0,Chinese,crazy loud,Yes,The food was good,,like
Yes,2.0,31,40.0,100.0,Canadian/American,medium,Yes,"Great ambience, location, food.",The Boathouse Restaurant,like
Yes,5.0,24,50.0,120.0,Other,medium,Yes,"quality of ingredients, attentive service, very tasty",Miku,like
Yes,4.0,21,100.0,120.0,Canadian/American,low,Yes,"great atmosphere, right on the water, very good service, great seafood",Cardero's ,like
Yes,2.5,27,40.0,25.0,Italian,low,Yes,Food and atmosphere was great. Guests were also very interesting. ,Anton's Pasta Bar,like
Yes,0.5,24,15.0,19.0,Other,low,Yes,"Free dessert, nice washrooms",Do Chay,like
Yes,3.0,22,20.0,35.0,Other,medium,Yes,"Delicious food! Really fresh ingredients, personalized experience.",Hello Nori,like
Yes,2.0,32,70.0,35.0,Italian,low,Yes,Decor is nice,Savio Volpe,like
Yes,2.0,21,70.0,100.0,Chinese,no music,Yes,The restaurant was clean. The ingredients were fresh. Taste is great :),Kirin,like
Yes,0.0,25,20.0,30.0,Other,medium,Yes,Delicious food,Kingyo,like
No,3.0,23,50.0,17.0,Canadian/American,medium,Yes,The people around me are my friends. Food is delicious,Fable diner,like
No,0.0,22,0.0,0.0,Other,no music,No,dont have best cause i never eat out,dont have best cause i never eat out,like
Yes,2.0,22,15.0,5.0,Canadian/American,low,No,,,like
Yes,5.0,22,15.0,16.0,Other,medium,Yes,Quality of the food,Marutama Ramen,like
Yes,5.0,22,15.0,50.0,Other,medium,Yes,,,like
Yes,3.0,22,5.0,20.0,Chinese,low,Yes,,,like
Yes,2.0,20,25.0,20.0,Other,low,Yes,"I love Middle Eastern food, so even if it isn't the best quality I will still love it.",Paramount Fine Foods,like
No,2.0,21,80.0,130.0,Chinese,medium,Yes,I was in a landscape position with my friend. The food tasted good.,,like
No,6.0,26,30.0,40.0,fusion,medium,Yes,Food quality,,like
No,2.0,23,,,,,,,,like
No,3.0,22,,,,,,,,like
Yes,6.0,23,,,,,,,,like
Yes,1.0,20,,,,,,,,like
Yes,3.0,22,,,,,,,,like
Yes,3.0,26,,,,,,,,like
Yes,1.0,27,,,,,,,,like
Yes,3.0,22,,,,,,,,like
Yes,1.0,21,,,,,,,,like
Yes,2.0,27,,,,,,,,like
Yes,1.0,18,,,,,,,,like
No,3.0,21,,,,,,,,like
Yes,0.5,29,30.0,15.0,Chinese,high,Yes,Restaurant theme (decoration),Memory corner,like
No,2.0,29,30.0,15.0,Indian,low,Yes,,East is East,like
No,1.0,26,15.0,12.0,Chinese,high,Yes,,Bento something on Campus,like
Yes,2.0,26,35.0,25.0,Other,medium,Yes,"great food, great company!",Phnom Penh,like
No,7.0,24,8.0,20.0,Italian,low,Yes,Free starter and ice-cream offered ,,like
Yes,0.5,25,20.0,60.0,Other,high,Yes,,,like
Yes,3.0,39,25.0,30.0,Other,high,Yes,Great Wine!,Les Faux Borgeois,like
No,3.0,24,15.0,20.0,Chinese,medium,Yes,,,like
Yes,1.0,28,45.0,50.0,Other,medium,Yes,very fresh ingredients,Blue Water Cafe,like
No,4.0,31,5.0,13.0,fusion,low,Yes,,,like
No,1.0,28,30.0,50.0,Other,high,Yes,Food is excellent ,,like
No,2.0,37,20.0,20.0,Canadian/American,medium,Yes,,,like
No,3.0,27,40.0,35.0,Other,medium,Yes,They served cucumber water - fancy stuff. The food was amazing. Large seats. ,Anh and Chi,like
Yes,1.0,32,40.0,35.0,Italian,low,Yes,staff,,like
No,1.5,24,30.0,150.0,Italian,low,Yes,,,like
No,2.0,28,20.0,25.0,Chinese,medium,Yes,,golden ocean,like
No,1.0,35,35.0,35.0,Indian,low,Yes,food was good,bombay masala,like
Yes,1.0,26,30.0,20.0,Canadian/American,high,Yes,food taste ,Downlow Chicken Shack,like
Yes,3.0,26,30.0,20.0,Other,medium,Yes,,,like
Yes,5.0,27,30.0,60.0,Other,low,Yes,The dishes are tasty. ,L'Abattoir,like
Yes,5.0,31,20.0,40.0,Other,medium,Yes,Imported fresh raw fish from Japan ,Nori Sushi in Nanaimo ,like
Yes,4.0,23,30.0,15.0,Thai,medium,Yes,,,like
No,1.0,38,25.0,40.0,fusion,low,Yes,,,like
No,2.0,34,30.0,25.0,Italian,medium,Yes,quality of food,Una Pizza,like
No,2.0,22,20.0,30.0,Other,low,Yes,,Masa sushi,like
No,2.0,23,30.0,15.0,Thai,low,Yes,,,like
No,1.0,38,5.0,15.0,Mexican,medium,Yes,With friends,,like
No,2.0,27,30.0,20.0,Italian,medium,Yes,,,like
No,1.0,36,10.0,25.0,Canadian/American,medium,Yes,Lively environment,Down Low Chicken,like
Yes,1.0,28,20.0,36.0,Canadian/American,medium,Yes,,Meet,like
No,0.5,27,20.0,60.0,Chinese,medium,Yes,Food taste,,like
No,2.0,46,30.0,150.0,Chinese,low,Yes,good food,,like
No,10.0,45,30.0,120.0,Canadian/American,medium,Yes,The variety of seafood.,Fanny Bay Oyster Bar & Shellfish Market,like
No,1.0,23,30.0,10.0,Other,medium,Yes,Food Taste and Quality,,like
No,1.0,22,3.0,60.0,Chinese,medium,Yes,,,like
No,2.0,31,10.0,10.0,Other,low,Yes,,,like
No,1.0,27,10.0,8.0,Other,medium,Yes,food was good,Mr Shawarma,like
No,1.0,34,6.0,40.0,Other,low,Yes,Good Food and Kebabs,Gilaneh Persian Grill,like
No,3.0,38,20.0,15.0,Chinese,no music,Yes,,,like
No,2.0,24,10.0,50.0,Other,low,Yes,,Sumi,like
No,2.0,46,30.0,30.0,Chinese,medium,Yes,,,like
No,1.0,24,15.0,10.0,Italian,low,Yes,No,Tim Hortons,like
Yes,2.0,28,10.0,100.0,Other,low,Yes,,,like
Yes,2.0,26,30.0,80.0,Canadian/American,medium,Yes,,Le Crocodile,like
No,2.0,30,10.0,15.0,Indian,no music,Yes,,,like
No,2.0,28,20.0,14.0,Chinese,low,Yes,,Wang's Taiwan Beef Noodle House,like
No,0.0,24,10.0,8.0,Chinese,low,Yes,,,like
No,12.0,23,8.0,35.0,Indian,low,Yes,,,like
Yes,5.0,26,30.0,18.0,Canadian/American,high,Yes,Board games,Storm Crow Alehouse,like
No,4.0,24,20.0,25.0,Other,medium,Yes,,,like
Yes,3.0,30,40.0,25.0,Other,medium,Yes,"restaurant decoration and environment, taste of food",SAKU,like
No,4.0,29,2.0,60.0,Indian,low,Yes,,,like
No,2.0,34,20.0,40.0,Indian,medium,Yes,,,like
No,2.0,25,10.0,20.0,Canadian/American,low,Yes,,,like
Yes,5.0,35,30.0,50.0,Other,medium,Yes,,,like
No,1.0,28,50.0,35.0,Chinese,high,Yes,People eat together,No,like
Yes,0.0,29,10.0,15.0,Other,low,Yes,,,like
Yes,1.0,25,30.0,30.0,Other,low,Yes,,,like
No,2.0,26,50.0,50.0,Chinese,medium,Yes,taste,haidilao,like
No,1.0,24,12.0,25.0,Other,medium,Yes,No,I do not remember,like
No,10.0,27,,,,,,,,like
No,5.0,22,,,,,,,,like
No,0.01,27,,,,,,,,like
Yes,1.0,24,,,,,,,,like
No,1.0,21,,,,,,,,like
No,4.0,29,,,,,,,,like
No,2.0,22,,,,,,,,like
No,0.0,27,,,,,,,,like
Yes,1.0,28,,,,,,,,like
No,1.0,23,,,,,,,,like
No,5.0,22,,,,,,,,like
No,0.0,25,,,,,,,,like
No,2.0,24,,,,,,,,like
No,4.0,34,,,,,,,,like
No,0.0,25,,,,,,,,like
Yes,0.0,22,,,,,,,,like
No,4.0,25,,,,,,,,like
No,5.0,28,,,,,,,,like
No,2.0,25,,,,,,,,like
Don't want to share,1.0,25,,,,,,,,like
Yes,1.0,24,,,,,,,,like
No,7.0,23,,,,,,,,like
Yes,4.0,24,,,,,,,,like
No,2.0,35,30.0,50.0,Italian,low,Yes,,,like
Yes,3.0,21,40.0,30.0,Other,medium,Yes,,gyu kaku,like
Yes,1.0,22,10.0,200.0,Other,low,Yes,It was paid for ;),Tojo's,like
Yes,3.0,20,30.0,35.0,Other,medium,Yes,Very good food.,N/a,like
Yes,0.2,21,50.0,26.0,Other,low,Yes,All you can eat is always great,Not sure,like
No,1.0,30,50.0,100.0,Italian,high,Yes,,Solvio Volpe,like
Yes,2.0,28,,,,,,,,like
Yes,2.0,22,,,,,,,,like
Yes,1.0,22,12.0,23.0,Mexican,medium,Yes,,,like
No,2.0,20,20.0,300.0,fusion,low,Yes,Bee pollen milk buns are the greatest thing ever,Published on Main,like
Yes,4.0,26,30.0,50.0,Chinese,high,Yes,"With group of friends, tasty, fancy, exotic",Gyukaku,like
Yes,2.0,24,15.0,15.0,Other,low,Yes,Was with friends,Marulilu Cafe,like
Yes,1.0,32,50.0,100.0,Canadian/American,low,Yes,"Excellent, knowledgeable service; fantastic atmosphere; tableside service.",Hy's Steakhouse,like
Yes,2.0,20,25.0,22.0,Canadian/American,medium,Yes,,Cactus club,like
Yes,3.0,19,40.0,25.0,Other,medium,Yes,no,Sura,like
No,2.0,21,20.0,25.0,Canadian/American,medium,Yes,"Food was great, heaters and seatinng was very comfortable",,like
No,1.0,21,10.0,40.0,Italian,low,Yes,"Great display of food, calm environment, thoughtful decoration, large space",No,like
Yes,2.0,19,30.0,100.0,Canadian/American,medium,,,,like
Yes,3.0,20,30.0,20.0,Mexican,low,Yes,,,like
Yes,0.0,22,60.0,25.0,Indian,low,Yes,,,like
Yes,0.25,22,40.0,12.0,Other,high,Yes,,,like
No,3.0,25,20.0,15.0,Other,low,Yes,,,like
Yes,2.0,21,150.0,90.0,Canadian/American,medium,Yes,view,sandbar,like
Yes,5.0,19,2.0,20.0,Chinese,low,Yes,I was with my boyfriend,,like
Yes,1.0,30,100.0,30.0,Indian,medium,Yes,,,like
No,5.0,22,3.0,12.0,Other,no music,Yes,Tonkatsu number one,Nori,like
Yes,3.0,25,15.0,10.0,Other,low,Yes,,,like
Yes,5.0,20,,,,,,,,like
Yes,2.0,21,,,,,,,,like
Yes,2.0,22,,,,,,,,like
Yes,5.0,20,,,,,,,,like
Yes,4.0,19,,,,,,,,like
Yes,0.5,25,,,,,,,,like
No,0.3,23,,,,,,,,like
Yes,3.0,21,,,,,,,,like
No,0.0,20,,,,,,,,like
No,2.0,19,,,,,,,,like
Yes,1.0,25,,,,,,,,like
Yes,2.5,21,,,,,,,,like
Yes,0.0,21,,,,,,,,like
Yes,2.0,20,,,,,,,,like
Yes,1.0,21,,,,,,,,like
No,2.0,24,,,,,,,,like
No,7.0,23,,,,,,,,like
Yes,5.0,22,15.0,50.0,Other,low,Yes,Decor,Sushi Hachi,like
Yes,1.0,22,30.0,20.0,Other,medium,Yes,Great value (lots of food for a good price),Koi Sushi,like
Yes,4.0,22,30.0,40.0,fusion,high,Yes,"The best tasting food ever. Super interactive, get to cook own kobe beef on a hot rock.
House-made ginger ale.
Good alcohol
",Kingyo,like
No,3.0,21,20.0,5.0,Other,no music,No,"Tasty food, lot of Vegan options",Sun Sushi,like
Yes,2.0,19,20.0,40.0,Indian,low,Yes,,,like
Yes,2.0,29,80.0,30.0,Canadian/American,low,Yes,,Bin 4,like
Yes,2.0,22,200.0,300.0,fusion,high,Yes,,ancora waterfront dining and patio,like
Yes,1.0,21,10.0,15.0,Other,low,Yes,Great fresh food,,like
Yes,3.0,20,50.0,30.0,Indian,high,No,,,like
Yes,1.0,38,20.0,20.0,Other,medium,Yes,Taste,Chui Hong,like
Yes,3.0,22,10.0,25.0,Italian,low,Yes,Great food,Casareccio Foods,like
Yes,2.0,22,40.0,130.0,Canadian/American,no music,Yes,Good seafood,Pier 7,like
Yes,2.5,20,100.0,40.0,Canadian/American,medium,Yes,Cooked steak perfect amount,Cactus Club,like
No,1.0,20,100.0,70.0,Chinese,medium,Yes,I was with family and friends,,like
